title	creator	publisher	language	ncid	edition	publicationDate	note	subject
司法書士[項目別]択一過去問		法学書院	jpn	BA65799723				
視る : 阪神・淡路大震災の人と街	「視る」編集委員会企画・製作	[兵庫機関紙宣伝センター]	jpn	BA65868702		[2004.1]	25分	NDC8:369.31
体験活動を重視した「みどりの時間」の展開	鹿児島大学教育学部附属小学校編	鹿児島大学教育学部附属小学校	jpn	BA65882984		1977.11		
酒井式「友だちの顔」の描かせ方	酒井式描画法札幌支部著	明治図書出版	jpn	BA65916689		2000.4	監修: 酒井臣吾	NDC9:375.72
太閤記		[出版者不明]	jpn	BA65920336		[出版年不明]	保存状態: 表紙裏表紙破損, 汚損, くたびれ,題簽にはがれあり	
計画の作成・実施	白澤政和監修	中央法規	jpn	BA65923629		[出版年不明]	制作: 佐賀由彦事務所	
iViva! Barcelona : 第25回オリンピック競技大会バルセロナ写真集	フォート・キシモト [撮影]	日本文化出版	jpn	BA65951963		1992.10	日本オリンピック委員会公認	
商業統計調査用五十音別商品索引表	通商産業大臣官房調査統計部商業統計課編	通産統計協会	jpn	BA66072276		1982.3		NDC8:675.1
唐詩選辯蒙	宇成之著	小林新兵衛 : 嵩山房	jpn	BA6612038X		寛政2 [1790]	和漢古書につき記述対象資料毎に書誌作成	NDC9:921.43
吉野町管内図 [地図資料]	吉野町[作成]	[出版者不明]	jpn	BA66134114		[1975.5]	縮尺: 1:25,000	NDC9:291.65
マルチベンダーネットワーク管理 : 混在環境におけるネットワーク管理の実際	ジョン・エンク, ダン・W・ブラカースキー著 ; キット訳	プレンティスホール出版	jpn	BA33395236		1997.11	Managing multivendor networks.の翻訳	NDC8:547.48
親子でつくる元気のでるキッチンガーデン : 無農薬・有機コンテナ栽培	小宮山洋夫著	小峰書店	jpn	BA33398529		1997.6		
日本女性秘話	二反長半著	布井書房	jpn	BA33464215		1971.6	付:年表 p232-237	NDC6:367.21
鹿児島県広域道路地図 : 便利で見やすい--メッシュ方式		福岡人文社	jpn	BA33474649		1997.7	左右同一頁付	NDC8:291.038
ふらんす大革命	小牧近江著	黄土社	jpn	BA33488701		1949	巻末: 索引	NDC6:235.061
羽越本線の90年 : 羽越本線と白新線の歴史とロマンを初めて集成		郷土出版社	jpn	BA33540335	保存版	1997.10	監修:瀬古龍雄	NDC8:686.214
ライプニッツ	永井博著	勁草書房	jpn	BA33564821		1997.11	ライプニッツの肖像あり	NDC8:134.1
知ってるようで知らなかった薬の飲み方	太田政孝著	データハウス	jpn	BA33571962		1997.6	監修:栗原源博	NDC8:499.1
上の平遺跡第6次調査・東山北遺跡第4次調査・銚子塚古墳南東部試掘 : 甲斐風土記の丘・曽根丘陵公園	山梨県埋蔵文化財センター編	山梨県教育委員会	jpn	BA33633800		1994.3	表紙の叢書名: 山梨県埋蔵文化財センター調査報告書	NDC8:210.2
バフチンを読む	阿部軍治編著	日本放送出版協会	jpn	BA3377178X		1997.12	参考文献: p291-297	NDC8:901.4
南國	大野恭平, 佐藤四郎共著	大野恭平 : 佐藤四郎	jpn	BA33775281		1915.10		
なんきょくへいったしろ	瀬田貞二作 ; 寺島竜一画	福音館書店, 1989.10	jpn	BA33792655	復刻版			
古代より中世を通じ江戸時代まで		佐伯町	jpn	BA33823067		1959.5	謄写版	NDC6:217.6
上代に於ける日本書紀講究	太田晶二郎著	[出版社不明]	jpn	BA33830007		[発行年不明]	本邦史学史論叢抜刷	
日本の紙幣	朝日新聞社編	朝日新聞社	jpn	BA33864927		1959.5		
かぶき大名	海音寺潮五郎著	講談社	jpn	BA33909592		1972.6	内容:かぶき大名,三代数奇伝,剛兵,昼の月,白日夢,室の梅ケ枝,遥州畸人伝	NDC6:913.6
自転車卸賣業実態調査報告書		日本自轉車製造卸協同組合連合会	jpn	BA33926966		[1958.5]	謄写版 普及版	NDC6:537.8
杭上家屋の研究	宮坂光次著	明治聖徳記念學會	jpn	BA33933906		1927.7		
大衆文藝評判記	三田村鳶魚著	汎文社	jpn	BA34054219		1933.11		
足の裏からみた体 : 脳と足の裏は直結している	野田雄二著	講談社	jpn	BA34068472		1998.1	参考文献: p174-176	NDC8:491.36
日本神話伝説の研究	高木敏雄著 ; 大林太良編	平凡社	jpn	BA66165741	増訂	2003.9	復刻	NDC8:164.1
ひと目でわかる土地評価の実務	芳賀則人著	六法出版社	jpn	BA66172882	2訂版	1999.8		NDC9:673.99
鉱業人名簿		鉱業出版社	jpn	BA66203294	改訂版	1959-		NDC6:569.035
行政書士になるには	三田達治, 浅野恵子著	ぺりかん社	jpn	BA66234720	初版第2刷	2002.2	奥付に「重版の際、最新の情報をもとに、データを更新」とあり	NDC8:327.17
異端者の悲み	谷崎潤一郎著	阿蘭陀書房	jpn	BA66241861		1917.9	箱入	NDC8:913.6
岐路に立つ人文科学 = Humanities at the crossroad	鷲田清一[ほか]編	大阪大学21世紀COEプログラム「インターフェイスの人文学」	jpnenggervie	BA6629658X		2003.12		
造形・デザイン教育の展開 : 千葉大学ひとづくり・ものづくり一三〇年		千葉県立美術館	jpn	BA66379494		2003.11	主要参考文献 p.69	
小児救急	市川光太郎編集	中山書店	jpn	BA66390282		2004.3	監修:柳沢正義	NLM:WS200
質的調査の実際と研究評価		放送大学教育振興会	jpn	BA66396868		[2002]	'02制作	
